researcher,name,impact,x,y,species,dens,year
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea caliginosa,"9,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea rosea,"9,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea trapezoides,"10,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Amynthas gracilis,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Amynthas morrisi,"0,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Dendrodrilus rubidus,"7,777777775",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Eukerria stagnalis,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex dubius,"55,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex phosphoreus,"78,33333333",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex spp,"4,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion tyrtaeum,"11,66666668",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion cyaneum,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion lacteum,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion sp,"4,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Juveniles,20,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea caliginosa,"1,666666675",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea rosea,"3,333333325",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea trapezoides,"12,22222223",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Amynthas gracilis,"0,55555555",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Amynthas morrisi,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Dendrodrilus rubidus,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Eukerria stagnalis,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex dubius,"91,66666668",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex phosphoreus,"47,22222223",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex spp,"28,8888889",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion tyrtaeum,"8,333333325",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion cyaneum,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion lacteum,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion sp,"8,8888889",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Juveniles,"36,1111111",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Aporrectodea caliginosa,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Aporrectodea rosea,"2,222222225",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Aporrectodea trapezoides,"33,8888889",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Amynthas gracilis,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Amynthas morrisi,"1,1111111",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Dendrodrilus rubidus,"0,55555555",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Eukerria stagnalis,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Microscolex dubius,60,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Microscolex phosphoreus,"21,66666668",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Microscolex spp,10,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion tyrtaeum,"9,44444445",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion cyaneum,"1,666666675",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion lacteum,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion sp,"2,222222225",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Juveniles,25,2011
Penon,Navarro,alto,-59.1725,-34.8277778,Aporrectodea caliginosa,"4,44444445",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Aporrectodea rosea,"2,777777775",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Aporrectodea trapezoides,"8,8888889",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Amynthas gracilis,0,2011
Penon,Navarro,alto,-59.1725,-34.8277778,Amynthas morrisi,0,2011
Penon,Navarro,alto,-59.1725,-34.8277778,Dendrodrilus rubidus,"1,666666675",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Eukerria stagnalis,"1,1111111",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Microscolex dubius,"17,77777778",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Microscolex phosphoreus,"2,777777775",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Microscolex spp,20,2011
Penon,Navarro,alto,-59.1725,-34.8277778,Octolasion tyrtaeum,"2,777777775",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Octolasion cyaneum,0,2011
Penon,Navarro,alto,-59.1725,-34.8277778,Octolasion lacteum,0,2011
Penon,Navarro,alto,-59.1725,-34.8277778,Octolasion sp,"16,66666668",2011
Penon,Navarro,alto,-59.1725,-34.8277778,Juveniles,10,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Aporrectodea caliginosa,"4,44444445",2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Aporrectodea rosea,5,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Aporrectodea trapezoides,"26,1111111",2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Amynthas gracilis,"0,55555555",2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Amynthas morrisi,0,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Dendrodrilus rubidus,0,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Eukerria stagnalis,0,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Microscolex dubius,20,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Microscolex phosphoreus,5,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Microscolex spp,"7,777777775",2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Octolasion tyrtaeum,"2,222222225",2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Octolasion cyaneum,0,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Octolasion lacteum,0,2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Octolasion sp,"3,333333325",2011
Penon,Jáuregui,alto,-59.2294445,-34.6166667,Juveniles,"6,666666675",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Aporrectodea caliginosa,"11,66666668",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Aporrectodea rosea,"21,66666668",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Aporrectodea trapezoides,45,2011
Penon,Luján,alto,-59.0747222,-34.5944445,Amynthas gracilis,0,2011
Penon,Luján,alto,-59.0747222,-34.5944445,Amynthas morrisi,"1,666666675",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Dendrodrilus rubidus,0,2011
Penon,Luján,alto,-59.0747222,-34.5944445,Eukerria stagnalis,0,2011
Penon,Luján,alto,-59.0747222,-34.5944445,Microscolex dubius,"46,1111111",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Microscolex phosphoreus,"18,8888889",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Microscolex spp,"8,8888889",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Octolasion tyrtaeum,"1,1111111",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Octolasion cyaneum,0,2011
Penon,Luján,alto,-59.0747222,-34.5944445,Octolasion lacteum,0,2011
Penon,Luján,alto,-59.0747222,-34.5944445,Octolasion sp,"2,222222225",2011
Penon,Luján,alto,-59.0747222,-34.5944445,Juveniles,"27,77777778",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Aporrectodea caliginosa,"7,222222225",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Aporrectodea rosea,"15,55555555",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Aporrectodea trapezoides,"19,44444445",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Amynthas gracilis,0,2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Amynthas morrisi,0,2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Dendrodrilus rubidus,0,2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Eukerria stagnalis,0,2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Microscolex dubius,"71,66666668",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Microscolex phosphoreus,"5,55555555",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Microscolex spp,"30,55555555",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Octolasion tyrtaeum,"9,44444445",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Octolasion cyaneum,"1,666666675",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Octolasion lacteum,0,2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Octolasion sp,"0,55555555",2011
Penon,Navarro,bajo,-59.1725,-34.8277778,Juveniles,"18,33333333",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Aporrectodea caliginosa,"1,666666675",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Aporrectodea rosea,"11,66666668",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Aporrectodea trapezoides,"15,55555555",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Amynthas gracilis,"1,1111111",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Amynthas morrisi,0,2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Dendrodrilus rubidus,"2,222222225",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Eukerria stagnalis,0,2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Microscolex dubius,"22,77777778",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Microscolex phosphoreus,"13,33333333",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Microscolex spp,"10,55555555",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Octolasion tyrtaeum,"1,1111111",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Octolasion cyaneum,0,2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Octolasion lacteum,0,2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Octolasion sp,"8,8888889",2011
Penon,Jáuregui,bajo,-59.2294445,-34.6166667,Juveniles,"6,666666675",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Aporrectodea caliginosa,"3,333333325",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Aporrectodea rosea,"6,666666675",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Aporrectodea trapezoides,"13,8888889",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Amynthas gracilis,0,2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Amynthas morrisi,0,2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Dendrodrilus rubidus,0,2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Eukerria stagnalis,"1,1111111",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Microscolex dubius,"11,66666668",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Microscolex phosphoreus,"5,55555555",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Microscolex spp,"8,333333325",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Octolasion tyrtaeum,"3,333333325",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Octolasion cyaneum,"1,1111111",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Octolasion lacteum,0,2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Octolasion sp,"6,666666675",2011
Penon,Luján,bajo,-59.0747222,-34.5944445,Juveniles,"7,777777775",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea caliginosa,"3,333333325",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea rosea,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Aporrectodea trapezoides,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Amynthas gracilis,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Amynthas morrisi,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Dendrodrilus rubidus,"1,666666675",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Eukerria stagnalis,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex dubius,"39,44444445",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex phosphoreus,"3,8888889",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Microscolex spp,"3,333333325",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion tyrtaeum,"3,333333325",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion cyaneum,0,2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion lacteum,"0,55555555",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Octolasion sp,"1,1111111",2011
Penon,Navarro,intermedio,-59.1725,-34.8277778,Juveniles,"12,22222223",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea caliginosa,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea rosea,"0,55555555",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Aporrectodea trapezoides,"0,55555555",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Amynthas gracilis,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Amynthas morrisi,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Dendrodrilus rubidus,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Eukerria stagnalis,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex dubius,"37,77777778",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex phosphoreus,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Microscolex spp,"8,8888889",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion tyrtaeum,"0,55555555",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion cyaneum,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion lacteum,0,2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Octolasion sp,"3,333333325",2011
Penon,Jáuregui,intermedio,-59.2294445,-34.6166667,Juveniles,"8,333333325",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Aporrectodea caliginosa,"10,55555555",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Aporrectodea rosea,"47,77777778",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Aporrectodea trapezoides,"13,8888889",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Amynthas gracilis,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Amynthas morrisi,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Dendrodrilus rubidus,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Eukerria stagnalis,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Microscolex dubius,"293,3333333",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Microscolex phosphoreus,"19,44444445",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Microscolex spp,"66,66666668",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion tyrtaeum,"76,1111111",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion cyaneum,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion lacteum,0,2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Octolasion sp,"21,66666668",2011
Penon,Luján,intermedio,-59.0747222,-34.5944445,Juveniles,"103,89",2011
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Microscolex phosphoreus,"1,78",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Aporrectodea caliginosa,"18,67",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Aporrectodea trapezoides,"0,89",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Eisenia fetida,"0,89",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Amynthas gracilis,"1,78",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Amynthas morrisi,"0,00",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Methaphire californica,"0,00",2009
Rionda,PU Pastizal UNLu,bajo,-59.0714389,-34.5925111,Juveniles,"7,11",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Microscolex phosphoreus,"4,4400000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Aporrectodea caliginosa,"2,6700000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Aporrectodea trapezoides,"0,0000000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Eisenia fetida,"0,8900000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Amynthas gracilis,"0,0000000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Amynthas morrisi,"2,6700000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Methaphire californica,"6,2200000",2009
Rionda,PE Pastizal Etchegoyen,bajo,-59.0693778,-34.4423222,Juveniles,"3,5600000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Microscolex phosphoreus,"0,0000000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Aporrectodea caliginosa,"6,2200000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Aporrectodea trapezoides,"0,8900000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Eisenia fetida,"0,0000000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Amynthas gracilis,"0,0000000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Amynthas morrisi,"0,0000000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Methaphire californica,"0,8900000",2009
Rionda,GE Ganadero Etchegoyen,intermedio,-59.0749083,-34.4413167,Juveniles,"10,6700000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Microscolex phosphoreus,"1,7800000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Aporrectodea caliginosa,"0,8900000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Aporrectodea trapezoides,"0,0000000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Eisenia fetida,"0,0000000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Amynthas gracilis,"0,0000000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Amynthas morrisi,"0,0000000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Methaphire californica,"0,0000000",2009
Rionda,AE Agricultura intensiva,alto,-59.0720250,-34.4404388,Juveniles,"1,7800000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Microscolex phosphoreus,"1,7800000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Aporrectodea caliginosa,"6,2200000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Aporrectodea trapezoides,"0,0000000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Eisenia fetida,"0,0000000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Amynthas gracilis,"0,0000000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Amynthas morrisi,"0,0000000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Methaphire californica,"0,0000000",2009
Rionda,AG1 Agricola ganadero,intermedio,-59.0699805,-34.5886417,Juveniles,"0,8900000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Microscolex phosphoreus,"0,0000000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Aporrectodea caliginosa,"5,3300000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Aporrectodea trapezoides,"0,0000000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Eisenia fetida,"0,0000000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Amynthas gracilis,"0,0000000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Amynthas morrisi,"0,0000000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Methaphire californica,"0,8900000",2009
Rionda,AG2 Agricola ganadero UNLu,intermedio,-59.0708112,-34.5901083,Juveniles,"1,7800000",2009
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Aporrectodea caliginosa,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Aporrectodea rosea,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Aporrectodea trapezoides,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Octolasion cyaneum,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Octolasion tyrtaeum,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Octolasion lacteum,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Microscolex dubius,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Microscolex phosphoreus,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Eukerria sp,"0,00",2008
Rosana,Lote 24,intermedio,-59.1755555,-34.8241667,Juveniles,"0,00",2008
Rosana,Lote 25,intermedio,-59.1733333,-34.8247222,Aporrectodea caliginosa,"0,00",2008
Rosana,Lote 25,intermedio,-59.1733333,-34.8247222,Aporrectodea rosea,"0,00",2008
Rosana,Lote 25,intermedio,-59.1733333,-34.8247222,Aporrectodea trapezoides,"0,00",2008
